央视,#genre#
CCTV1-综合HD,http://171.38.216.193:8082/tsfile/live/0001_1.m3u8
CCTV2-财经HD,http://171.38.216.193:8082/tsfile/live/0002_1.m3u8
CCTV3-综艺HD,http://171.38.216.193:8082/tsfile/live/0003_1.m3u8
CCTV4-国际HD,http://171.38.216.193:8082/tsfile/live/0004_1.m3u8
CCTV5-体育HD,http://171.38.216.193:8082/tsfile/live/0005_1.m3u8
CCTV6-电影HD,http://171.38.216.193:8082/tsfile/live/0006_1.m3u8
CCTV7-军农HD,http://171.38.216.193:8082/tsfile/live/0007_1.m3u8
CCTV8-电视剧HD,http://171.38.216.193:8082/tsfile/live/0008_1.m3u8
CCTV9-纪录HD,http://171.38.216.193:8082/tsfile/live/0009_1.m3u8
CCTV10-科教HD,http://171.38.216.193:8082/tsfile/live/0010_1.m3u8
CCTV11-戏曲HD,http://171.38.216.193:8082/tsfile/live/1009_1.m3u8
CCTV12-社会与法HD,http://171.38.216.193:8082/tsfile/live/0012_1.m3u8
CCTV13-新闻HD,http://171.38.216.193:8082/tsfile/live/0013_1.m3u8
CCTV14-少儿HD,http://171.38.216.193:8082/tsfile/live/0014_1.m3u8
CCTV15-音乐HD,http://171.38.216.193:8082/tsfile/live/0015_1.m3u8
CCTV16-奥林匹克HD,http://171.38.216.193:8082/tsfile/live/1002_1.m3u8
CCTV17-农业农村HD,http://171.38.216.193:8082/tsfile/live/1039_1.m3u8
CCTV5+体育赛事HD,http://171.38.216.193:8082/tsfile/live/0016_1.m3u8
省内,#genre#
广西影视HD,http://171.38.216.193:8082/tsfile/live/1037_1.m3u8
广西移动,http://171.38.216.193:8082/tsfile/live/1001_1.m3u8
广西综艺旅游HD,http://171.38.216.193:8082/tsfile/live/1040_1.m3u8
广西都市HD,http://171.38.216.193:8082/tsfile/live/1003_1.m3u8
广西新闻HD,http://171.38.216.193:8082/tsfile/live/1004_1.m3u8
广西国际,http://171.38.216.193:8082/tsfile/live/1016_1.m3u8
南宁都市生活HD,http://171.38.216.193:8082/tsfile/live/1005_1.m3u8
南宁公共频道HD,http://171.38.216.193:8082/tsfile/live/1017_1.m3u8
南宁影视娱乐HD,http://171.38.216.193:8082/tsfile/live/1018_1.m3u8
南宁新闻综合HD,http://171.38.216.193:8082/tsfile/live/1019_1.m3u8
钦州新闻综合HD,http://171.38.216.193:8082/tsfile/live/1022_1.m3u8
灵山综合频道HD,http://171.38.216.193:8082/tsfile/live/1035_1.m3u8
广东体育频道,http://171.38.216.193:8082/tsfile/live/1006_1.m3u8
广东影视频道,http://171.38.216.193:8082/tsfile/live/1043_1.m3u8
广东新闻频道,http://171.38.216.193:8082/tsfile/live/1024_1.m3u8
广东公共频道,http://171.38.216.193:8082/tsfile/live/1025_1.m3u8
广东珠江频道,http://171.38.216.193:8082/tsfile/live/1020_1.m3u8
广东经济科教,http://171.38.216.193:8082/tsfile/live/1012_1.m3u8
广东南方卫视,http://171.38.216.193:8082/tsfile/live/1027_1.m3u8
广东少儿频道,http://171.38.216.193:8082/tsfile/live/1023_1.m3u8
卫视,#genre#
广西卫视HD,http://171.38.216.193:8082/tsfile/live/0113_1.m3u8
广东卫视HD,http://171.38.216.193:8082/tsfile/live/0125_1.m3u8
湖南卫视HD,http://171.38.216.193:8082/tsfile/live/0128_1.m3u8
东方卫视HD,http://171.38.216.193:8082/tsfile/live/0107_1.m3u8
北京卫视HD,http://171.38.216.193:8082/tsfile/live/0122_1.m3u8
浙江卫视HD,http://171.38.216.193:8082/tsfile/live/0124_1.m3u8
江苏卫视HD,http://171.38.216.193:8082/tsfile/live/0127_1.m3u8
深圳卫视HD,http://171.38.216.193:8082/tsfile/live/0126_1.m3u8
湖北卫视HD,http://171.38.216.193:8082/tsfile/live/0132_1.m3u8
山东卫视HD,http://171.38.216.193:8082/tsfile/live/0131_1.m3u8
黑龙江卫视HD,http://171.38.216.193:8082/tsfile/live/0143_1.m3u8
天津卫视HD,http://171.38.216.193:8082/tsfile/live/0135_1.m3u8
河北卫视HD,http://171.38.216.193:8082/tsfile/live/0117_1.m3u8
贵州卫视HD,http://171.38.216.193:8082/tsfile/live/0120_1.m3u8
东南卫视HD,http://171.38.216.193:8082/tsfile/live/0137_1.m3u8
安徽卫视HD,http://171.38.216.193:8082/tsfile/live/0130_1.m3u8
江西卫视HD,http://171.38.216.193:8082/tsfile/live/0139_1.m3u8
甘肃卫视HD,http://171.38.216.193:8082/tsfile/live/0119_1.m3u8
辽宁卫视HD,http://171.38.216.193:8082/tsfile/live/0110_1.m3u8
四川卫视HD,http://171.38.216.193:8082/tsfile/live/0123_1.m3u8
吉林卫视HD,http://171.38.216.193:8082/tsfile/live/0116_1.m3u8
山西卫视,http://171.38.216.193:8082/tsfile/live/0118_1.m3u8
新疆卫视,http://171.38.216.193:8082/tsfile/live/0121_1.m3u8
重庆卫视,http://171.38.216.193:8082/tsfile/live/0142_1.m3u8
青海卫视,http://171.38.216.193:8082/tsfile/live/0140_1.m3u8
云南卫视,http://171.38.216.193:8082/tsfile/live/0109_1.m3u8
河南卫视,http://171.38.216.193:8082/tsfile/live/0138_1.m3u8
旅游卫视,http://171.38.216.193:8082/tsfile/live/0114_1.m3u8
陕西卫视,http://171.38.216.193:8082/tsfile/live/0136_1.m3u8
宁夏卫视,http://171.38.216.193:8082/tsfile/live/0112_1.m3u8
兵团卫视,http://171.38.216.193:8082/tsfile/live/1030_1.m3u8
广州综合频道,http://171.38.216.193:8082/tsfile/live/0133_1.m3u8
少儿,#genre#
金鹰卡通HD,http://171.38.216.193:8082/tsfile/live/1010_1.m3u8
嘉佳卡通,http://171.38.216.193:8082/tsfile/live/1014_1.m3u8
卡酷少儿,http://171.38.216.193:8082/tsfile/live/1033_1.m3u8
优漫卡通,http://171.38.216.193:8082/tsfile/live/1034_1.m3u8
新动漫,http://171.38.216.193:8082/tsfile/live/1036_1.m3u8
轮播,#genre#
IPTV谍战剧场,http://171.38.216.193:8082/tsfile/live/1000_1.m3u8
IPTV野外,http://171.38.216.193:8082/tsfile/live/1011_1.m3u8
IPTV热播剧场,http://171.38.216.193:8082/tsfile/live/1015_1.m3u8
IPTV法治,http://171.38.216.193:8082/tsfile/live/1028_1.m3u8
IPTV经典电影,http://171.38.216.193:8082/tsfile/live/1021_1.m3u8
先锋兵羽,http://171.38.216.193:8082/tsfile/live/1013_1.m3u8
都市剧场,http://171.38.216.193:8082/tsfile/live/1008_1.m3u8
收藏天下,http://171.38.216.193:8082/tsfile/live/1031_1.m3u8
其它,#genre#
中国气象,http://171.38.216.193:8082/tsfile/live/1007_1.m3u8
中国教育HD,http://171.38.216.193:8082/tsfile/live/1038_1.m3u8
武术世界,http://171.38.216.193:8082/tsfile/live/1029_1.m3u8
电影,#genre#
爱上4K,http://171.38.216.193:8082/tsfile/live/1026_1.m3u8
动作电影,http://171.38.216.193:8082/tsfile/live/1045_1.m3u8
家庭影院,http://171.38.216.193:8082/tsfile/live/1046_1.m3u8
高清电影,http://171.38.216.193:8082/tsfile/live/1047_1.m3u8
精彩影视HD,http://171.38.216.193:8082/tsfile/live/1032_1.m3u8
